EventIndex,Planet1,Aspect,Planet2,Orb,Type
12,Sun,Sextile,Neptune,5°02’,Applying
12,Sun,Trine,Pluto,2°33’,Applying
12,Moon,Trine,Venus,0°55’,Applying
12,Moon,Square,Mars,3°27’,Applying
12,Moon,Square,Saturn,2°18’,Applying
12,Moon,Square,Neptune,4°57’,Separating
12,Mercury,Conjunction,Jupiter,4°31’,Separating
12,Mercury,Square,Uranus,4°10’,Separating
12,Mars,Opposition,Saturn,1°08’,Separating
12,Jupiter,Square,Uranus,0°20’,Applying
12,Neptune,Sextile,Pluto,2°28’,Separating
13,Sun,Conjunction,Mercury,3°59’,Separating
13,Sun,Trine,Uranus,3°29’,Separating
13,Sun,Square,Pluto,0°10’,Applying
13,Moon,Square,Mars,8°37’,Applying
13,Moon,Trine,Jupiter,9°01’,Applying
13,Moon,Opposition,Saturn,4°05’,Applying
13,Moon,Square,Uranus,3°29’,Separating
13,Moon,Sextile,Neptune,2°48’,Applying
13,Moon,Trine,Pluto,0°11’,Applying
13,Mercury,Square,Pluto,3°48’,Separating
13,Venus,Conjunction,Mars,6°36’,Separating
13,Mars,Square,Saturn,4°31’,Separating
13,Jupiter,Opposition,Neptune,6°13’,Separating
13,Saturn,Trine,Neptune,1°17’,Separating
13,Saturn,Sextile,Pluto,3°54’,Separating
13,Neptune,Sextile,Pluto,2°37’,Applying
14,Sun,Square,Moon,9°42’,Applying
14,Sun,Sextile,Mars,2°48’,Applying
14,Sun,Trine,Neptune,9°32’,Applying
14,Moon,Square,Mercury,9°36’,Separating
14,Moon,Sextile,Venus,3°44’,Separating
14,Mercury,Sextile,Saturn,2°57’,Applying
14,Mercury,Trine,Uranus,0°14’,Applying
14,Mercury,Square,Pluto,1°57’,Separating
14,Venus,Square,Saturn,2°54’,Separating
14,Mars,Conjunction,Pluto,5°55’,Applying
14,Saturn,Sextile,Uranus,2°43’,Separating
14,Saturn,Square,Neptune,4°06’,Separating
14,Neptune,Sextile,Pluto,0°49’,Applying
15,Sun,Square,Moon,9°03’,Applying
15,Sun,Sextile,Mars,0°12’,Separating
15,Sun,Conjunction,Saturn,6°00’,Applying
15,Sun,Square,Uranus,5°35’,Separating
15,Sun,Trine,Neptune,0°00’,Applying
15,Sun,Sextile,Pluto,1°30’,Separating
15,Moon,Trine,Mercury,6°15’,Applying
15,Moon,Sextile,Venus,0°42’,Separating
15,Moon,Opposition,Uranus,3°28’,Applying
15,Mercury,Square,Mars,2°35’,Applying
15,Mercury,Sextile,Uranus,2°47’,Separating
15,Mercury,Square,Neptune,2°48’,Applying
15,Venus,Conjunction,Jupiter,6°19’,Separating
15,Venus,Trine,Uranus,4°10’,Applying
15,Mars,Opposition,Neptune,0°12’,Applying
15,Mars,Trine,Pluto,1°17’,Separating
15,Saturn,Trine,Neptune,6°00’,Separating
15,Neptune,Sextile,Pluto,1°30’,Applying
16,Sun,Conjunction,Mercury,8°46’,Separating
16,Sun,Trine,Jupiter,2°36’,Separating
16,Sun,Trine,Uranus,4°31’,Separating
16,Moon,Trine,Mercury,4°09’,Separating
16,Moon,Trine,Mars,2°17’,Applying
16,Moon,Conjunction,Neptune,2°50’,Applying
16,Moon,Sextile,Pluto,2°10’,Applying
16,Mercury,Conjunction,Mars,6°26’,Applying
16,Mercury,Trine,Neptune,6°59’,Applying
16,Mercury,Opposition,Pluto,6°19’,Applying
16,Mars,Opposition,Saturn,3°46’,Applying
16,Mars,Trine,Neptune,0°33’,Applying
16,Mars,Opposition,Pluto,0°06’,Separating
16,Jupiter,Conjunction,Uranus,1°55’,Applying
16,Saturn,Sextile,Neptune,3°13’,Applying
16,Saturn,Conjunction,Pluto,3°53’,Applying
16,Neptune,Sextile,Pluto,0°40’,Separating
17,Sun,Trine,Moon,1°42’,Separating
17,Sun,Conjunction,Venus,2°27’,Applying
17,Sun,Trine,Jupiter,5°17’,Separating
17,Sun,Square,Saturn,6°41’,Applying
17,Sun,Square,Uranus,2°53’,Applying
17,Moon,Trine,Venus,4°09’,Separating
17,Moon,Square,Mars,9°23’,Applying
17,Moon,Trine,Jupiter,7°00’,Separating
17,Mercury,Trine,Neptune,1°40’,Applying
17,Venus,Trine,Jupiter,2°50’,Separating
17,Venus,Square,Uranus,5°21’,Applying
17,Mars,Trine,Saturn,4°24’,Separating
17,Mars,Opposition,Pluto,4°21’,Applying
17,Saturn,Opposition,Uranus,3°47’,Separating
18,Sun,Conjunction,Mercury,5°01’,Separating
18,Sun,Square,Jupiter,8°50’,Separating
18,Sun,Square,Uranus,6°16’,Applying
18,Sun,Opposition,Neptune,5°36’,Separating
18,Sun,Trine,Pluto,9°49’,Separating
18,Moon,Trine,Mercury,5°21’,Separating
18,Moon,Opposition,Mars,4°16’,Applying
18,Moon,Conjunction,Saturn,4°03’,Applying
18,Mercury,Square,Uranus,1°15’,Applying
18,Mars,Opposition,Jupiter,6°29’,Applying
18,Mars,Opposition,Saturn,0°13’,Separating
18,Jupiter,Conjunction,Saturn,6°42’,Separating
18,Jupiter,Square,Neptune,3°14’,Applying
19,Sun,Conjunction,Uranus,3°59’,Separating
19,Moon,Square,Jupiter,8°01’,Separating
19,Moon,Sextile,Neptune,1°01’,Applying
19,Moon,Conjunction,Pluto,1°32’,Applying
19,Mercury,Trine,Mars,6°20’,Applying
19,Mercury,Square,Saturn,0°49’,Applying
19,Venus,Square,Mars,6°40’,Applying
19,Venus,Sextile,Saturn,1°09’,Applying
19,Jupiter,Trine,Uranus,6°38’,Separating
19,Neptune,Sextile,Pluto,0°31’,Separating
20,Sun,Sextile,Moon,2°41’,Applying
20,Sun,Conjunction,Mercury,5°13’,Applying
20,Sun,Trine,Jupiter,6°07’,Separating
20,Sun,Trine,Saturn,3°52’,Separating
20,Moon,Sextile,Mercury,2°32’,Separating
20,Moon,Square,Venus,6°45’,Applying
20,Moon,Sextile,Jupiter,3°26’,Separating
20,Moon,Sextile,Saturn,1°11’,Separating
20,Mercury,Trine,Jupiter,0°54’,Separating
20,Mercury,Trine,Saturn,1°21’,Applying
20,Mars,Opposition,Uranus,6°01’,Separating
20,Mars,Sextile,Neptune,0°48’,Separating
20,Mars,Trine,Pluto,5°09’,Applying
20,Jupiter,Conjunction,Saturn,2°15’,Applying
20,Jupiter,Square,Pluto,2°01’,Separating
20,Saturn,Square,Pluto,4°16’,Separating
20,Uranus,Trine,Neptune,5°13’,Separating
21,Sun,Square,Moon,4°40’,Separating
21,Moon,Sextile,Mercury,1°24’,Separating
21,Moon,Sextile,Venus,3°26’,Applying
21,Moon,Square,Mars,7°51’,Applying
21,Mercury,Conjunction,Venus,4°50’,Separating
21,Venus,Square,Pluto,5°54’,Applying
21,Mars,Square,Jupiter,3°54’,Separating
21,Mars,Sextile,Saturn,1°04’,Separating
21,Mars,Trine,Uranus,0°02’,Separating
21,Mars,Square,Neptune,4°28’,Separating
21,Mars,Trine,Pluto,1°29’,Separating
21,Jupiter,Conjunction,Neptune,0°33’,Applying
21,Saturn,Opposition,Uranus,1°02’,Applying
21,Saturn,Sextile,Pluto,0°25’,Separating
21,Uranus,Trine,Pluto,1°27’,Applying
22,Sun,Opposition,Moon,4°52’,Separating
22,Sun,Square,Saturn,2°16’,Separating
22,Sun,Sextile,Neptune,0°41’,Separating
22,Sun,Conjunction,Pluto,0°31’,Separating
22,Moon,Trine,Venus,9°41’,Applying
22,Moon,Opposition,Jupiter,5°24’,Applying
22,Moon,Square,Saturn,7°08’,Separating
22,Moon,Trine,Neptune,5°33’,Separating
22,Moon,Opposition,Pluto,5°23’,Separating
22,Mercury,Opposition,Mars,1°35’,Separating
22,Mercury,Sextile,Saturn,2°09’,Applying
22,Mars,Trine,Saturn,3°45’,Separating
22,Saturn,Square,Pluto,1°44’,Applying
22,Uranus,Square,Neptune,6°07’,Separating
22,Neptune,Sextile,Pluto,0°09’,Separating
23,Sun,Conjunction,Mercury,4°45’,Separating
23,Sun,Conjunction,Mars,4°50’,Applying
23,Moon,Conjunction,Venus,3°55’,Applying
23,Moon,Trine,Saturn,3°43’,Separating
23,Moon,Opposition,Neptune,4°22’,Separating
23,Moon,Trine,Pluto,5°41’,Separating
23,Jupiter,Conjunction,Uranus,0°04’,Separating
23,Saturn,Sextile,Neptune,0°39’,Applying
23,Saturn,Conjunction,Pluto,1°57’,Applying
23,Neptune,Sextile,Pluto,1°18’,Separating
24,Sun,Conjunction,Mercury,7°47’,Applying
24,Sun,Conjunction,Venus,9°09’,Applying
24,Sun,Sextile,Mars,4°47’,Applying
24,Sun,Sextile,Saturn,3°31’,Applying
24,Moon,Conjunction,Neptune,1°14’,Separating
24,Moon,Sextile,Pluto,5°05’,Separating
24,Mercury,Sextile,Mars,3°00’,Applying
24,Mercury,Trine,Pluto,6°53’,Separating
24,Venus,Conjunction,Jupiter,3°35’,Separating
24,Mars,Conjunction,Saturn,1°15’,Separating
24,Mars,Square,Uranus,4°57’,Applying
24,Saturn,Square,Uranus,6°13’,Applying
24,Neptune,Sextile,Pluto,3°51’,Applying
25,Sun,Conjunction,Venus,5°37’,Applying
25,Sun,Trine,Jupiter,7°32’,Applying
25,Sun,Square,Neptune,1°00’,Applying
25,Sun,Trine,Pluto,1°45’,Separating
25,Moon,Square,Jupiter,3°01’,Applying
25,Moon,Sextile,Neptune,3°29’,Separating
25,Moon,Square,Pluto,6°15’,Separating
25,Mercury,Trine,Jupiter,2°58’,Separating
25,Mercury,Square,Uranus,4°59’,Applying
25,Venus,Square,Neptune,6°37’,Applying
25,Venus,Trine,Pluto,3°52’,Applying
25,Mars,Trine,Saturn,4°19’,Applying
25,Mars,Sextile,Uranus,1°12’,Applying
25,Saturn,Opposition,Uranus,3°07’,Separating
26,Sun,Square,Jupiter,7°34’,Applying
26,Sun,Conjunction,Saturn,6°37’,Applying
26,Sun,Square,Pluto,8°14’,Separating
26,Moon,Conjunction,Mercury,0°13’,Separating
26,Moon,Sextile,Venus,4°38’,Applying
26,Moon,Sextile,Jupiter,1°32’,Separating
26,Moon,Trine,Uranus,4°24’,Applying
26,Mercury,Sextile,Jupiter,1°18’,Separating
26,Mercury,Trine,Uranus,4°38’,Applying
26,Venus,Trine,Mars,5°56’,Applying
26,Venus,Trine,Jupiter,6°11’,Separating
26,Venus,Sextile,Uranus,0°14’,Separating
26,Mars,Opposition,Uranus,6°11’,Separating
26,Jupiter,Square,Saturn,0°56’,Applying
26,Jupiter,Opposition,Uranus,5°56’,Applying
26,Saturn,Square,Uranus,6°53’,Applying
26,Neptune,Sextile,Pluto,2°55’,Applying
27,Sun,Opposition,Moon,5°50’,Applying
27,Sun,Trine,Mars,9°08’,Separating
27,Sun,Opposition,Jupiter,3°42’,Applying
27,Sun,Trine,Saturn,1°00’,Applying
27,Moon,Sextile,Mars,3°18’,Separating
27,Moon,Conjunction,Jupiter,9°32’,Applying
27,Moon,Conjunction,Pluto,5°37’,Separating
27,Mars,Conjunction,Uranus,4°49’,Separating
27,Mars,Trine,Neptune,5°42’,Separating
27,Mars,Sextile,Pluto,2°18’,Separating
27,Jupiter,Sextile,Saturn,2°41’,Applying
27,Uranus,Trine,Neptune,0°53’,Separating
27,Uranus,Sextile,Pluto,2°30’,Applying
27,Neptune,Sextile,Pluto,3°23’,Applying
28,Sun,Conjunction,Mercury,2°36’,Separating
28,Sun,Trine,Saturn,5°35’,Separating
28,Moon,Square,Venus,1°17’,Applying
28,Moon,Square,Mars,2°34’,Separating
28,Moon,Square,Jupiter,3°55’,Applying
28,Moon,Sextile,Neptune,1°48’,Separating
28,Venus,Conjunction,Mars,3°51’,Separating
28,Venus,Opposition,Jupiter,2°38’,Applying
28,Mars,Opposition,Jupiter,6°30’,Applying
28,Mars,Trine,Pluto,4°31’,Separating
28,Jupiter,Conjunction,Saturn,6°06’,Separating
28,Uranus,Trine,Pluto,3°43’,Applying
29,Sun,Square,Moon,3°50’,Applying
29,Sun,Conjunction,Mercury,3°49’,Applying
29,Sun,Conjunction,Venus,9°25’,Separating
29,Sun,Square,Mars,8°40’,Separating
29,Sun,Square,Jupiter,7°35’,Applying
